ន	និង|នៃ|នេះ|នៅ|នៅក្នុង|នឹង
គំន	គំនិត|គំនូរ|គំនូស|គំនិត៖|គំនរ|គំនូរ៖
គំនិ	គំនិត|គំនិត៖
គំនិត	គំនិត|គំនិត៖
ផង	ផងដែរ|ផង|ផងដែរ៖
ផងដ	ផងដែរ|ផងដែរ៖
ផងដែ	ផងដែរ|ផងដែរ៖
ផងដែរ	ផងដែរ|ផងដែរ៖
កំ	កំណត់|កំពុង|កំណើន|កំហុស|កំដៅ|កំឡុង
កំណ	កំណត់|កំណើន|កំណើត|កំណាព្យ|កំណត់ត្រា|កំណែទម្រង់
កំណត	កំណត់|កំណត់ត្រា|កំណត់ហេតុ|កំណត់៖|កំណត់ហេតុផល|កំណត់ចម្លើយ
កំណត់	កំណត់|កំណត់ត្រា|កំណត់ហេតុ|កំណត់៖|កំណត់ហេតុផល|កំណត់ចម្លើយ
ឧ	ឧទាហរណ៍|ឧបករណ៍|ឧស្សាហកម្ម|ឧបសគ្គ|ឧស្ម័ន|ឧក្រិដ្ឋកម្ម
ឧទ	ឧទាហរណ៍|ឧទាហរណ៍៖|ឧទ្យាន|ឧទ្ទិស|ឧទាហរ|ឧទ្ទាម
ឧទា	ឧទាហរណ៍|ឧទាហរណ៍៖|ឧទាហរ
ឧទាហ	ឧទាហរណ៍|ឧទាហរណ៍៖|ឧទាហរ
ឧទាហរ	ឧទាហរណ៍|ឧទាហរណ៍៖|ឧទាហរ
ផ្ទ	ផ្ទាល់ខ្លួន|ផ្ទះ|ផ្ទាល់|ផ្ទុក|ផ្ទៃ|ផ្ទាំង
ផ្ទា	ផ្ទាល់ខ្លួន|ផ្ទាល់|ផ្ទាំង|ផ្ទាល់ខ្លួន៖|ផ្ទាល់៖
ផ្ទាល	ផ្ទាល់ខ្លួន|ផ្ទាល់|ផ្ទាល់ខ្លួន៖|ផ្ទាល់៖
កម	កម្មវិធី|កម្រិត|កម្លាំង|កម្សាន្ត|កម្មសិទ្ធិ|កម្មករ
កម្	កម្មវិធី|កម្រិត|កម្លាំង|កម្សាន្ត|កម្មសិទ្ធិ|កម្មករ
កម្ម	កម្មវិធី|កម្មសិទ្ធិ|កម្មករ|កម្មសិក្សា|កម្ម|កម្មវិធី៖
កម្មវ	កម្មវិធី|កម្មវិធី៖|កម្មវត្ថុ|កម្មវិញ
ដោះ	ដោះស្រាយ|ដោះ|ដោះស្រា|ដោះសោ|ដោះលែង|ដោះដូរ
ដោះស	ដោះស្រាយ|ដោះស្រា|ដោះសោ|ដោះសោសក្តានុពល|ដោះស្រាយ៖|ដោះសោស
ដោះស្	ដោះស្រាយ|ដោះស្រា|ដោះស្រាយ៖
បរ	បរិស្ថាន|បរិយាកាស|បរិបទ|បរិមាណ|បរិស្ថាន៖|បរទេស
បរិ	បរិស្ថាន|បរិយាកាស|បរិបទ|បរិមាណ|បរិស្ថាន៖|បរិវេណ
បរិស	បរិស្ថាន|បរិស្ថាន៖|បរិសុទ្ធ|បរិស្ថា|បរិស័ទ|បរិស្ថានទូទៅ
បរិស្	បរិស្ថាន|បរិស្ថាន៖|បរិស្ថា|បរិស្ថានទូទៅ|បរិស្ថានទូទាំង
ធ្វើឱ	ធ្វើឱ្យ
សក	សកម្មភាព|សកល|សក្តានុពល|សកម្ម|សក្ដានុពល|សកលលោក
សកម	សកម្មភាព|សកម្ម|សកម្មជន|សកម្មភាព៖|សកម្ម៖
សកម្	សកម្មភាព|សកម្ម|សកម្មជន|សកម្មភាព៖|សកម្ម៖
សកម្ម	សកម្មភាព|សកម្ម|សកម្មជន|សកម្មភាព៖|សកម្ម៖
ជំ	ជំរុញ|ជំនាញ|ជំងឺ|ជំនឿ|ជំនាន់|ជំហាន
ជំរ	ជំរុញ|ជំរាប|ជំរុញឱ្យ|ជំរក|ជំរុំ|ជំរៅ
ជំរុ	ជំរុញ|ជំរុញឱ្យ|ជំរុំ
ជំរុញ	ជំរុញ|ជំរុញឱ្យ
សា	សារៈសំខាន់|សាមញ្ញ|សារធាតុ|សាធារណៈ|សាកល្បង|សារ
សារ	សារៈសំខាន់|សារធាតុ|សារ|សារមន្ទីរ|សារពើពន្ធ|សារ៉ា
សារៈ	សារៈសំខាន់|សារៈសំខា|សារៈប្រយោជន៍|សារៈសំខាន់៖
សារៈស	សារៈសំខាន់|សារៈសំខា|សារៈសំខាន់៖
សិ	សិល្បៈ|សិក្សា|សិស្ស|សិទ្ធិ|សិប្បនិម្មិត|សិល្បករ
សិល	សិល្បៈ|សិល្បករ|សិល្បៈ៖|សិល្ប៍៖|សិលាចារឹក|សិល្បករបញ្ចូល
សិល្	សិល្បៈ|សិល្បករ|សិល្បៈ៖|សិល្ប៍៖|សិល្បករបញ្ចូល|សិល្បករ៖
សិល្ប	សិល្បៈ|សិល្បករ|សិល្បៈ៖|សិល្ប៍៖|សិល្បករបញ្ចូល|សិល្បករ៖
អារ	អារម្មណ៍|អារម្ម|អារេ|អារ៉ាប់|អារ៉ាប់៖|អារ្យធម៌
អារម	អារម្មណ៍|អារម្ម|អារម្មណ៍៖
អារម្	អារម្មណ៍|អារម្ម|អារម្មណ៍៖
ភ	ភាព|ភាសា|ភូមិសាស្ត្រ|ភ្ជាប់|ភាពតានតឹង|ភាពលំអៀង
ភា	ភាព|ភាសា|ភាពតានតឹង|ភាពលំអៀង|ភាគ|ភាពខុសគ្នា
ភាព	ភាព|ភាពតានតឹង|ភាពលំអៀង|ភាពខុសគ្នា|ភាពច្នៃប្រឌិត|ភាពជោគជ័យ
ទាំងន	ទាំងនេះ|ទាំងនោះ|ទាំងនេះ៖
អាជ	អាជីវកម្ម|អាជីព|អាជីវក|អាជ្ញាធរ|អាជីព៖|អាជ្ញាប័ណ្ណ
អាជី	អាជីវកម្ម|អាជីព|អាជីវក|អាជីព៖|អាជីវកម្ម៖|អាជី
អាជីវ	អាជីវកម្ម|អាជីវក|អាជីវកម្ម៖|អាជីវករ|អាជីវកម្មវិញ|អាជីវកម្មវិភាគ
នោ	នោះ|នោគម|នោះ៖|នោសញ្ចេតនា
នោះ	នោះ|នោះ៖
ជាង	ជាង|ជាង៖
សុវ	សុវត្ថិភាព|សុវត្ថិភា|សុវត្ថិភាព៖|សុវត្ថភាព|សុវតិ្ថភាព|សុវត្ថិភាពល្បី
សុវត	សុវត្ថិភាព|សុវត្ថិភា|សុវត្ថិភាព៖|សុវត្ថភាព|សុវតិ្ថភាព|សុវត្ថិភាពល្បី
សុវត្	សុវត្ថិភាព|សុវត្ថិភា|សុវត្ថិភាព៖|សុវត្ថភាព|សុវត្ថិភាពល្បី
ផល	ផល|ផលិតភាព|ផលិតផល|ផលិត|ផលវិបាក|ផលិតកម្ម
ទិ	ទិន្នន័យ|ទិដ្ឋភាព|ទិញ|ទិន្នផល|ទិសដៅ|ទិសទី
ទិន	ទិន្នន័យ|ទិន្នផល|ទិន្នន័យ៖|ទិនា
ទិន្	ទិន្នន័យ|ទិន្នផល|ទិន្នន័យ៖
ទិន្ន	ទិន្នន័យ|ទិន្នផល|ទិន្នន័យ៖
ធន	ធនធាន|ធនាគារ|ធន|ធនធាន៖|ធន់|ធន់ទ្រាំ
ធនធ	ធនធាន|ធនធាន៖|ធនធានបញ្ចូល
ធនធា	ធនធាន|ធនធាន៖|ធនធានបញ្ចូល
ធនធាន	ធនធាន|ធនធាន៖|ធនធានបញ្ចូល
ជំន	ជំនាញ|ជំនឿ|ជំនាន់|ជំនួស|ជំនួយ|ជំនន់
ជំនា	ជំនាញ|ជំនាន់|ជំនាញ៖|ជំនា
ជំនាញ	ជំនាញ|ជំនាញ៖
ការអ	ការអប់រំ|ការអភិវឌ្ឍន៍|ការអនុវត្ត|ការអភិរក្ស|ការអនុញ្ញាត|ការអភិវឌ្ឍ
ការអប	ការអប់រំ|ការអប់រំ៖|ការអបអរសាទរ|ការអប់|ការអបអរ
៖	៖
ទិដ	ទិដ្ឋភាព|ទិដ្ឋាការ|ទិដ្ឋ|ទិដ្ឋភាព៖
ទិដ្	ទិដ្ឋភាព|ទិដ្ឋាការ|ទិដ្ឋ|ទិដ្ឋភាព៖
ទិដ្ឋ	ទិដ្ឋភាព|ទិដ្ឋាការ|ទិដ្ឋ|ទិដ្ឋភាព៖
ឧប	ឧបករណ៍|ឧបសគ្គ|ឧបមាថា|ឧប្បត្តិហេតុ|ឧបត្ថម្ភ|ឧបទ្ទវហេតុ
ឧបក	ឧបករណ៍|ឧបករណ៍៖|ឧបករណ៏
ឧបករ	ឧបករណ៍|ឧបករណ៍៖|ឧបករណ៏
ឧបករណ	ឧបករណ៍|ឧបករណ៍៖|ឧបករណ៏
ខណ	ខណៈពេល|ខណៈ|ខណ្ឌ|ខណ្ឌ៖
ខណៈ	ខណៈពេល|ខណៈ
ខណៈព	ខណៈពេល
ខណៈពេ	ខណៈពេល
ដំ	ដំណើរការ|ដំណោះស្រាយ|ដំបូង|ដំណើរ|ដំបូន្មាន|ដំណើរការធ្វើ
ដំណ	ដំណើរការ|ដំណោះស្រាយ|ដំណើរ|ដំណើរការធ្វើ|ដំណាល|ដំណាក់កាល
ដំណើ	ដំណើរការ|ដំណើរ|ដំណើរការធ្វើ|ដំណើរកម្សាន្ត|ដំណើរការបាន|ដំណើរការព័ត៌មាន
ដំណើរ	ដំណើរការ|ដំណើរ|ដំណើរការធ្វើ|ដំណើរកម្សាន្ត|ដំណើរការបាន|ដំណើរការព័ត៌មាន
ចំ	ចំពោះ|ចំណេះដឹង|ចំណោម|ចំនួន|ចំណូល|ចំណុច
ចំព	ចំពោះ|ចំពេល|ចំពោះមុខ|ចំពោះ៖|ចំពុះ
ចំពោ	ចំពោះ|ចំពោះមុខ|ចំពោះ៖
ចំពោះ	ចំពោះ|ចំពោះមុខ|ចំពោះ៖
តួ	តួនាទី|តួ|តួយ៉ាង|តួអង្គ|តួលេខ|តួរ
តួន	តួនាទី|តួនាទី៖
តួនា	តួនាទី|តួនាទី៖
តួនាទ	តួនាទី|តួនាទី៖
ម្	ម្នាក់|ម្ហូប|ម្តង|ម្ចាស់|ម្យ៉ាង|ម្ម៖
ម្ន	ម្នាក់|ម្នាក់ឯង|ម្នា|ម្នាស់|ម្នាក់៖|ម្នាក់ងាយ
ម្នា	ម្នាក់|ម្នាក់ឯង|ម្នា|ម្នាស់|ម្នាក់៖|ម្នាក់ងាយ
ម្នាក	ម្នាក់|ម្នាក់ឯង|ម្នាក់៖|ម្នាក់ងាយ
ការអភ	ការអភិវឌ្ឍន៍|ការអភិរក្ស|ការអភិវឌ្ឍ|ការអភិរក្ស៖|ការអភ័យទោស|ការអភិវឌ្ឈន៍
ដើរ	ដើរ|ដើរតួ|ដើរលេង|ដើរតួរ|ដើរល្បាត
បណ	បណ្តាញ|បណ្តាលឱ្យ|បណ្តុះបណ្តាល|បណ្តាល|បណ្តុះ|បណ្ណាល័យ
បណ្	បណ្តាញ|បណ្តាលឱ្យ|បណ្តុះបណ្តាល|បណ្តាល|បណ្តុះ|បណ្ណាល័យ
បណ្ត	បណ្តាញ|បណ្តាលឱ្យ|បណ្តុះបណ្តាល|បណ្តាល|បណ្តុះ|បណ្តា
បណ្តា	បណ្តាញ|បណ្តាលឱ្យ|បណ្តាល|បណ្តា|បណ្តាក់ទុន|បណ្តាលឲ្យ
បង្ហ	បង្ហាញ|បង្ហោះ|បង្ហូរ|បង្ហាញ៖|បង្ហាត់|បង្ហាប់
បង្ហា	បង្ហាញ|បង្ហាញ៖|បង្ហាត់|បង្ហាប់
កាត	កាត់បន្ថយ|កាត់|កាត់ថ្លៃ|កាត|កាតាលីករ|កាតព្វកិច្ច
កាត់	កាត់បន្ថយ|កាត់|កាត់ថ្លៃ|កាត់ផ្តាច់|កាត់ទោស|កាត់ដេរ
កាត់ប	កាត់បន្ថយ|កាត់បន្លែ|កាត់បន្ថ|កាត់ប្រាសាទ
រូ	រូប|រូបវិទ្យា|រូបភាព|រូបរាង|រូបមន្ត|រូបិយវត្ថុ
រូប	រូប|រូបវិទ្យា|រូបភាព|រូបរាង|រូបមន្ត|រូបិយវត្ថុ
ការអន	ការអនុវត្ត|ការអនុញ្ញាត|ការអនុលោម|ការអនុវត្តន៍|ការអនុម័ត|ការអន្តរាគមន៍
ពេលវ	ពេលវេលា|ពេលវេលា៖|ពេលវេន
ពេលវេ	ពេលវេលា|ពេលវេលា៖|ពេលវេន
ចិ	ចិត្ត|ចិញ្ចឹម|ចិត្តសាស្រ្ត|ចិន|ចិត្តសាស្ត្រ|ចិត្តវិទ្យា
ចិត	ចិត្ត|ចិត្តសាស្រ្ត|ចិត្តសាស្ត្រ|ចិត្តវិទ្យា|ចិត្ត៖
ចិត្	ចិត្ត|ចិត្តសាស្រ្ត|ចិត្តសាស្ត្រ|ចិត្តវិទ្យា|ចិត្ត៖
